,Moyenne de R,Moyenne de G,Moyenne de B
1,32.0,33.0,35.333333333333336
2,35.0,35.333333333333336,34.333333333333336
3,35.0,37.333333333333336,43.0
4,43.333333333333336,52.333333333333336,63.666666666666664
5,34.666666666666664,35.333333333333336,36.333333333333336
6,37.333333333333336,34.666666666666664,34.666666666666664
7,36.333333333333336,42.333333333333336,42.333333333333336
8,34.666666666666664,35.666666666666664,36.666666666666664
9,36.0,37.666666666666664,36.666666666666664
10,82.0,79.0,76.0
11,36.333333333333336,38.0,40.0
12,37.333333333333336,39.0,40.333333333333336
13,38.666666666666664,43.0,47.0
14,37.0,37.666666666666664,37.666666666666664
15,35.666666666666664,42.333333333333336,43.666666666666664
16,34.666666666666664,34.666666666666664,33.666666666666664
17,35.666666666666664,37.666666666666664,37.666666666666664
18,36.0,37.0,36.666666666666664
19,38.0,37.666666666666664,36.0
20,33.666666666666664,41.333333333333336,38.666666666666664
21,33.0,38.0,34.333333333333336
22,37.0,39.0,39.0
23,36.333333333333336,38.0,39.666666666666664
24,33.333333333333336,36.333333333333336,38.666666666666664
25,33.666666666666664,34.666666666666664,34.333333333333336
26,36.333333333333336,36.666666666666664,36.666666666666664
27,74.66666666666667,79.0,82.66666666666667
28,35.0,36.0,35.666666666666664
29,35.333333333333336,37.0,36.666666666666664
